Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/04  16:00:00,35580521.89753943,35580521.89753943,63303461.948654938 
 01/04  17:00:00,35580521.89753943,35580521.89753943,61235456.20112568 
 01/04  18:00:00,25936552.67908783,25936552.679087834,87712480.40381386 
 01/04  19:00:00,19948327.444222344,19948327.44422234,81912729.19188163 
 01/04  20:00:00,13931418.059538957,13931418.059538952,0.0 
 01/04  21:00:00,12669894.910823152,12669894.910823152,0.0 
 01/04  22:00:00,12669894.910823152,12669894.910823152,0.0 
 01/04  23:00:00,11534524.076916654,11534524.076916654,0.0 
 01/04  24:00:00,11205881.415921549,11205881.415921549,0.0 
 01/05  01:00:00,13158423.644994012,13158423.64499401,0.0 
 01/05  02:00:00,13158423.644994012,13158423.64499401,0.0 
 01/05  03:00:00,13158423.644994012,13158423.64499401,0.0 
 01/05  04:00:00,13158423.644994012,13158423.64499401,0.0 
 01/05  05:00:00,13158423.644994012,13158423.64499401,0.0 
 01/05  06:00:00,13970526.588477325,13970526.588477325,0.0 
 01/05  07:00:00,21142764.71390551,21142764.713905507,94223850.66412841 
 01/05  08:00:00,23539658.69652781,23539658.696527807,113033211.43117425 
 01/05  09:00:00,35580521.89753943,35580521.89753943,83210618.22464061 
 01/05  10:00:00,35580521.89753943,35580521.89753943,78949157.99781667 
 01/05  11:00:00,35580521.89753943,35580521.89753943,78093705.9068139 
 01/05  12:00:00,32297321.897539434,32297321.897539434,74914281.72316343 
 01/05  13:00:00,30317532.498362535,30317532.49836253,92408947.90316825 
 01/05  14:00:00,32297321.897539434,32297321.897539434,70658183.05358927 
 01/05  15:00:00,33391721.897539434,33391721.89753943,69815530.66229645 
 01/05  16:00:00,35580521.89753943,35580521.89753943,67324133.99291553 
 01/05  17:00:00,35580521.89753943,35580521.89753943,65003872.29549444 
 01/05  18:00:00,25936552.67908783,25936552.679087834,92500145.6712696 
 01/05  19:00:00,19948327.444222344,19948327.44422234,85587318.6905267 
 01/05  20:00:00,13931418.059538957,13931418.059538952,0.0 
 01/05  21:00:00,12669894.910823152,12669894.910823152,0.0 
 01/05  22:00:00,12669894.910823152,12669894.910823152,0.0 
 01/05  23:00:00,11534524.076916654,11534524.076916654,0.0 
 01/05  24:00:00,11205881.415921549,11205881.415921549,0.0 
 01/06  01:00:00,13158423.644994012,13158423.64499401,0.0 
 01/06  02:00:00,13158423.644994012,13158423.64499401,0.0 
 01/06  03:00:00,13158423.644994012,13158423.64499401,0.0 
 01/06  04:00:00,13158423.644994012,13158423.64499401,0.0 
 01/06  05:00:00,13158423.644994012,13158423.64499401,0.0 
 01/06  06:00:00,13970526.588477325,13970526.588477325,0.0 
 01/06  07:00:00,21142764.71390551,21142764.713905507,96906394.09197425 
 01/06  08:00:00,23539658.69652781,23539658.696527807,117990559.8526516 
 01/06  09:00:00,35580521.89753943,35580521.89753943,88408998.720698 
 01/06  10:00:00,35580521.89753943,35580521.89753943,79345404.84813318 
 01/06  11:00:00,35580521.89753943,35580521.89753943,74402388.58896575 
 01/06  12:00:00,32297321.897539434,32297321.897539434,67726746.10534293 
 01/06  13:00:00,30317532.498362535,30317532.49836253,83948297.78636644 
