Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W]
00:10:00,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,7.670100E-02,1.482281E+03,3.201615E-01,3.326888E+03,3.846305E+03,1.473356E-01,4.275571E+03,5.814432E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.123665E+03,2.415722E-01,2.509419E+03,2.890096E+03,9.194874E-02,2.622651E+03,3.449196E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.665723E+02,1.367478E-01,1.415571E+03,1.636233E+03,1.469736E-01,4.268699E+03,5.814432E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.123665E+03,2.049982E-01,2.101883E+03,2.456007E+03,9.141046E-02,2.612433E+03,3.449196E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.665723E+02,1.525876E-01,1.592072E+03,1.822613E+03
00:20:00,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,7.670100E-02,1.490296E+03,3.196213E-01,3.312853E+03,3.831836E+03,1.473166E-01,4.275211E+03,5.814432E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.129741E+03,2.399351E-01,2.485100E+03,2.864620E+03,9.193869E-02,2.622461E+03,3.449196E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.701769E+02,1.358295E-01,1.401734E+03,1.621697E+03,1.469541E-01,4.268329E+03,5.814432E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.129741E+03,2.038273E-01,2.082759E+03,2.435847E+03,9.140039E-02,2.612242E+03,3.449196E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.701769E+02,1.512332E-01,1.573375E+03,1.803064E+03
00:30:00,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,7.670100E-02,1.498312E+03,3.190936E-01,3.298958E+03,3.817512E+03,1.472978E-01,4.274852E+03,5.814432E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.135817E+03,2.383317E-01,2.461158E+03,2.839530E+03,9.192872E-02,2.622271E+03,3.449196E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.737815E+02,1.349292E-01,1.388097E+03,1.607367E+03,1.469347E-01,4.267961E+03,5.814432E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.135817E+03,2.026828E-01,2.063929E+03,2.415992E+03,9.139039E-02,2.612052E+03,3.449196E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.737815E+02,1.499236E-01,1.555178E+03,1.784029E+03
00:40:00,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,7.670100E-02,1.506328E+03,3.185774E-01,3.285190E+03,3.803317E+03,1.472790E-01,4.274497E+03,5.814432E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.141894E+03,2.367608E-01,2.437577E+03,2.814810E+03,9.191881E-02,2.622083E+03,3.449196E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.773861E+02,1.340463E-01,1.374655E+03,1.593235E+03,1.469154E-01,4.267595E+03,5.814432E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.141894E+03,2.015635E-01,2.045381E+03,2.396426E+03,9.138046E-02,2.611864E+03,3.449196E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.773861E+02,1.486558E-01,1.537446E+03,1.765471E+03
00:50:00,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,7.670100E-02,1.514343E+03,3.180718E-01,3.271540E+03,3.789242E+03,1.472604E-01,4.274144E+03,5.814432E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.147970E+03,2.352211E-01,2.414344E+03,2.790450E+03,9.190898E-02,2.621896E+03,3.449196E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.809907E+02,1.331802E-01,1.361400E+03,1.579297E+03,1.468963E-01,4.267232E+03,5.814432E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.147970E+03,2.004683E-01,2.027102E+03,2.377143E+03,9.137060E-02,2.611677E+03,3.449196E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.809907E+02,1.474267E-01,1.520146E+03,1.747360E+03
01:00:00,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,7.670100E-02,1.522359E+03,3.175759E-01,3.257999E+03,3.775278E+03,1.472420E-01,4.273793E+03,5.814432E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.154047E+03,2.337116E-01,2.391448E+03,2.766440E+03,9.189921E-02,2.621711E+03,3.449196E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.845953E+02,1.323305E-01,1.348326E+03,1.565549E+03,1.468774E-01,4.266872E+03,5.814432E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.154047E+03,1.993966E-01,2.009083E+03,2.358134E+03,9.136082E-02,2.611491E+03,3.449196E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.845953E+02,1.462339E-01,1.503250E+03,1.729668E+03
01:10:00,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,7.670100E-02,1.527703E+03,3.171055E-01,3.247413E+03,3.764350E+03,1.472435E-01,4.273822E+03,5.814432E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.158098E+03,2.322470E-01,2.371077E+03,2.745036E+03,9.190004E-02,2.621727E+03,3.449196E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.869984E+02,1.315055E-01,1.336731E+03,1.553327E+03,1.468789E-01,4.266901E+03,5.814432E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.158098E+03,1.983650E-01,1.993537E+03,2.341688E+03,9.136165E-02,2.611507E+03,3.449196E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.869984E+02,1.450845E-01,1.488039E+03,1.713714E+03
01:20:00,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,7.670100E-02,1.533046E+03,3.166436E-01,3.236922E+03,3.753518E+03,1.472450E-01,4.273850E+03,5.814432E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.162148E+03,2.308192E-01,2.351116E+03,2.724057E+03,9.190086E-02,2.621742E+03,3.449196E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.894014E+02,1.307012E-01,1.325366E+03,1.541344E+03,1.468804E-01,4.266930E+03,5.814432E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.162148E+03,1.973635E-01,1.978327E+03,2.325596E+03,9.136247E-02,2.611522E+03,3.449196E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.894014E+02,1.439722E-01,1.473242E+03,1.698188E+03
01:30:00,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,7.670100E-02,1.538390E+03,3.161897E-01,3.226522E+03,3.742779E+03,1.472464E-01,4.273878E+03,5.814432E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.166199E+03,2.294277E-01,2.331561E+03,2.703493E+03,9.190167E-02,2.621758E+03,3.449196E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.918045E+02,1.299174E-01,1.314228E+03,1.529596E+03,1.468819E-01,4.266959E+03,5.814432E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.166199E+03,1.963918E-01,1.963449E+03,2.309851E+03,9.136328E-02,2.611538E+03,3.449196E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.918045E+02,1.428954E-01,1.458841E+03,1.683067E+03
01:40:00,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,7.670100E-02,1.543734E+03,3.157437E-01,3.216208E+03,3.732130E+03,1.472479E-01,4.273906E+03,5.814432E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.170250E+03,2.280723E-01,2.312406E+03,2.683347E+03,9.190247E-02,2.621773E+03,3.449196E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.942076E+02,1.291539E-01,1.303318E+03,1.518084E+03,1.468834E-01,4.266987E+03,5.814432E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.170250E+03,1.954498E-01,1.948901E+03,2.294454E+03,9.136408E-02,2.611553E+03,3.449196E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.942076E+02,1.418528E-01,1.444820E+03,1.668340E+03
