Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 07/08  13:00:00,6470753.785857652,6470753.785857652,0.0 
 07/08  14:00:00,6472045.416770958,6472045.416770958,0.0 
 07/08  15:00:00,6474628.6785975699,6474628.6785975699,0.0 
 07/08  16:00:00,6479703.726609087,6479703.726609087,0.0 
 07/08  17:00:00,6511461.938255333,6511461.938255333,0.0 
 07/08  18:00:00,6568112.748986367,6568112.748986367,0.0 
 07/08  19:00:00,6806353.887762313,6806353.887762313,0.0 
 07/08  20:00:00,7020116.331020043,7020116.331020043,0.0 
 07/08  21:00:00,10305881.415921547,10305881.415921547,0.0 
 07/08  22:00:00,10305881.415921547,10305881.415921547,0.0 
 07/08  23:00:00,10305881.415921547,10305881.415921547,0.0 
 07/08  24:00:00,9193157.415921549,9193157.415921549,0.0 
 07/09  01:00:00,9193157.415921549,9193157.415921549,0.0 
 07/09  02:00:00,9193157.415921549,9193157.415921549,0.0 
 07/09  03:00:00,9193157.415921549,9193157.415921549,0.0 
 07/09  04:00:00,9193157.415921549,9193157.415921549,0.0 
 07/09  05:00:00,7927046.415921549,7927046.415921549,0.0 
 07/09  06:00:00,7022681.415921549,7022681.415921549,0.0 
 07/09  07:00:00,6953288.635504271,6953288.63550427,0.0 
 07/09  08:00:00,6857352.0680022719,6857352.0680022709,0.0 
 07/09  09:00:00,6818719.194256471,6818719.194256471,0.0 
 07/09  10:00:00,6765853.344891734,6765853.344891734,0.0 
 07/09  11:00:00,6474628.6785975699,6474628.6785975699,0.0 
 07/09  12:00:00,6516481.982043092,6516481.98204309,0.0 
 07/09  13:00:00,6490753.217394691,6490753.217394691,0.0 
 07/09  14:00:00,6474628.6785975699,6474628.6785975699,0.0 
 07/09  15:00:00,6474628.6785975699,6474628.6785975699,0.0 
 07/09  16:00:00,6491310.818919913,6491310.818919913,0.0 
 07/09  17:00:00,6576090.562649139,6576090.562649139,0.0 
 07/09  18:00:00,6653856.267728798,6653856.267728798,0.0 
 07/09  19:00:00,6937333.008178728,6937333.008178727,0.0 
 07/09  20:00:00,7022681.415921549,7022681.415921549,0.0 
 07/09  21:00:00,10305881.415921547,10305881.415921547,0.0 
 07/09  22:00:00,10305881.415921547,10305881.415921547,0.0 
 07/09  23:00:00,10305881.415921547,10305881.415921547,0.0 
 07/09  24:00:00,9193157.415921549,9193157.415921549,0.0 
 07/10  01:00:00,12258423.644994013,12258423.644994013,0.0 
 07/10  02:00:00,12258423.644994013,12258423.644994013,0.0 
 07/10  03:00:00,12258423.644994013,12258423.644994013,0.0 
 07/10  04:00:00,12258423.644994013,12258423.644994013,0.0 
 07/10  05:00:00,11804415.588477323,11804415.588477321,0.0 
 07/10  06:00:00,23001662.49480571,23001662.494805714,0.0 
 07/10  07:00:00,21785430.15753632,21785430.15753632,0.0 
 07/10  08:00:00,35712266.68356467,35712266.68356466,0.0 
 07/10  09:00:00,35693013.41617353,35693013.416173528,0.0 
 07/10  10:00:00,36217289.01821316,36217289.01821316,0.0 
 07/10  11:00:00,37263201.24016241,37263201.24016241,0.0 
 07/10  12:00:00,34947904.24170719,34947904.24170719,0.0 
 07/10  13:00:00,38102652.67279326,38102652.67279327,0.0 
 07/10  14:00:00,38269715.17111016,38269715.17111016,0.0 
 07/10  15:00:00,38679674.53345743,38679674.53345743,0.0 
 07/10  16:00:00,38823346.75311098,38823346.75311098,0.0 
 07/10  17:00:00,27163408.823514567,27163408.823514563,0.0 
 07/10  18:00:00,14654010.92950273,14654010.92950273,0.0 
 07/10  19:00:00,9354411.302690953,9354411.302690953,0.0 
 07/10  20:00:00,8483153.034750926,8483153.034750926,0.0 
 07/10  21:00:00,11769894.910823154,11769894.910823152,0.0 
 07/10  22:00:00,10634524.076916654,10634524.076916654,0.0 
 07/10  23:00:00,10305881.415921547,10305881.415921547,0.0 
 07/10  24:00:00,12258423.644994013,12258423.644994013,0.0 
 07/11  01:00:00,12258423.644994013,12258423.644994013,0.0 
 07/11  02:00:00,12258423.644994013,12258423.644994013,0.0 
 07/11  03:00:00,12258423.644994013,12258423.644994013,0.0 
 07/11  04:00:00,12258423.644994013,12258423.644994013,0.0 
 07/11  05:00:00,11804415.588477323,11804415.588477321,0.0 
 07/11  06:00:00,22432148.47461227,22432148.47461227,0.0 
 07/11  07:00:00,21546822.880066404,21546822.880066404,0.0 
