Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,11024254.802542033,11024254.802542033,0.0 
 01/01  02:00:00,11436202.852156479,11436202.852156477,0.0 
 01/01  03:00:00,11365456.986694372,11365456.986694372,0.0 
 01/01  04:00:00,11327773.83946255,11327773.839462549,0.0 
 01/01  05:00:00,10813203.409103349,10813203.409103349,0.0 
 01/01  06:00:00,11174318.859979198,11174318.859979198,0.0 
 01/01  07:00:00,11363135.609011995,11363135.609011995,0.0 
 01/01  08:00:00,11873774.25521303,11873774.25521303,0.0 
 01/01  09:00:00,8289845.660103538,8289845.660103539,0.0 
 01/01  10:00:00,7815564.890336892,7815564.890336892,0.0 
 01/01  11:00:00,6918013.566296235,6918013.566296234,0.0 
 01/01  12:00:00,6954313.575926061,6954313.575926061,0.0 
 01/01  13:00:00,7291149.433824884,7291149.433824884,0.0 
 01/01  14:00:00,7448138.177845075,7448138.177845074,0.0 
 01/01  15:00:00,7479397.488831054,7479397.488831054,0.0 
 01/01  16:00:00,7703747.733650038,7703747.733650038,0.0 
 01/01  17:00:00,10384277.730783422,10384277.730783422,0.0 
 01/01  18:00:00,11222213.06610269,11222213.06610269,0.0 
 01/01  19:00:00,11277546.330042532,11277546.330042532,0.0 
 01/01  20:00:00,11785615.403777522,11785615.403777522,0.0 
 01/01  21:00:00,12017573.624593027,12017573.624593026,0.0 
 01/01  22:00:00,12580087.654613045,12580087.654613045,0.0 
 01/01  23:00:00,12580251.765204043,12580251.765204043,0.0 
 01/01  24:00:00,12604035.380880589,12604035.380880589,0.0 
 01/02  01:00:00,13030380.961203879,13030380.961203879,0.0 
 01/02  02:00:00,12990279.338233928,12990279.338233928,0.0 
 01/02  03:00:00,13007453.985181118,13007453.985181118,0.0 
 01/02  04:00:00,13029602.402341905,13029602.4023419,0.0 
 01/02  05:00:00,12839505.244245092,12839505.244245092,0.0 
 01/02  06:00:00,13808691.903566124,13808691.90356612,0.0 
 01/02  07:00:00,42870460.24675434,42870460.24675435,0.0 
 01/02  08:00:00,44206428.32654612,44206428.32654611,0.0 
 01/02  09:00:00,47497230.60293387,47497230.60293387,0.0 
 01/02  10:00:00,44685869.72117764,44685869.72117762,0.0 
 01/02  11:00:00,42058729.56455308,42058729.564553078,0.0 
 01/02  12:00:00,39597323.679478008,39597323.679478,0.0 
 01/02  13:00:00,40005632.23466527,40005632.23466526,0.0 
 01/02  14:00:00,38869497.896652508,38869497.896652508,0.0 
 01/02  15:00:00,38403966.31116949,38403966.31116948,0.0 
 01/02  16:00:00,38050821.53811688,38050821.53811687,0.0 
 01/02  17:00:00,39664153.42549164,39664153.42549164,0.0 
 01/02  18:00:00,35091125.569024179,35091125.56902418,0.0 
 01/02  19:00:00,29668174.0088366,29668174.008836599,0.0 
 01/02  20:00:00,13031418.059538957,13031418.059538952,0.0 
 01/02  21:00:00,11769894.910823154,11769894.910823152,0.0 
 01/02  22:00:00,11769894.910823154,11769894.910823152,0.0 
 01/02  23:00:00,10634524.076916654,10634524.076916654,0.0 
 01/02  24:00:00,10305881.415921549,10305881.415921549,0.0 
 01/03  01:00:00,12258423.644994012,12258423.644994012,0.0 
 01/03  02:00:00,12258423.644994012,12258423.644994012,0.0 
 01/03  03:00:00,12258423.644994012,12258423.644994012,0.0 
 01/03  04:00:00,12258423.644994012,12258423.644994012,0.0 
 01/03  05:00:00,12258423.644994012,12258423.644994012,0.0 
 01/03  06:00:00,13070526.588477325,13070526.58847732,0.0 
 01/03  07:00:00,33126660.72469797,33126660.72469797,0.0 
 01/03  08:00:00,36217056.63074595,36217056.63074595,0.0 
 01/03  09:00:00,38218012.32894898,38218012.328948978,0.0 
 01/03  10:00:00,35873800.76708928,35873800.76708928,0.0 
 01/03  11:00:00,33846826.98398131,33846826.983981307,0.0 
 01/03  12:00:00,33660356.1843043,33660356.18430429,0.0 
 01/03  13:00:00,33008975.93447884,33008975.93447884,0.0 
 01/03  14:00:00,32257873.72889746,32257873.728897454,0.0 
 01/03  15:00:00,33381763.883129635,33381763.883129628,0.0 
 01/03  16:00:00,33303370.490513196,33303370.490513196,0.0 
 01/03  17:00:00,35663924.94258559,35663924.94258559,0.0 
 01/03  18:00:00,31856382.974515827,31856382.97451583,0.0 
 01/03  19:00:00,26811845.32228242,26811845.32228242,0.0 
 01/03  20:00:00,13031418.059538957,13031418.059538952,0.0 
 01/03  21:00:00,11769894.910823154,11769894.910823152,0.0 
 01/03  22:00:00,11769894.910823154,11769894.910823152,0.0 
 01/03  23:00:00,10634524.076916654,10634524.076916654,0.0 
 01/03  24:00:00,10305881.415921549,10305881.415921549,0.0 
 01/04  01:00:00,12258423.644994012,12258423.644994012,0.0 
 01/04  02:00:00,12258423.644994012,12258423.644994012,0.0 
